Product/VAC name,CSVs generated,Testload,Available CasJobs,Metadata added?,Publish to BestDR20,SQL,CSV,Downloaded CSV,Notes,CSV reloading finished?,VAC Announcement,DB table Name(s),Extra indices needed,Spatial search needed?
VAC 20 - MWM_MDWARF,TRUE,FALSE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/blob/DR20_VAC20/sql/MWM/mdwarf_contin_summary.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/mwmCSV/mdwarf-contin_VAC/mdwarf-contin-standardization-1.0.0.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\mwmCSV\m-dwarf\mdwarf-contin\mdwarf-contin-standardization-1.0.0.csv,"3 Array columns in the H5 file were discarded: delta_ra, delta_dec and sdss5_target_flags",,,mdwarf_contin_summary,,
VAC 21- boss occam cluster,TRUE,FALSE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/blob/DR20_VAC_21/sql/MWM/boss_occam_cluster.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/mwmCSV/boss-occam/BOSS_occam_cluster-DR20-v1.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\mwmCSV\boss-occam\BOSS_occam_cluster-DR20-v1.csv,,,,boss_occam_cluster,,
VAC 21- boss occam member,TRUE,FALSE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/blob/DR20_VAC_21/sql/MWM/boss_occam_member.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/mwmCSV/boss-occam/BOSS_occam_member-DR20-v1.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\mwmCSV\boss-occam\BOSS_occam_member-DR20-v1.csv,,,,boss_occam_member,,
VAC 22 - minesweeper,TRUE,FALSE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/blob/DR20_VAC_22/sql/MWM/minesweeper.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/mwmCSV/minesweeper/minesweeper_v1.2.2.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\mwmCSV\minesweeper\minesweeper_v1.2.2.csv,,,,minesweeper,,
VAC 24 - Spiders AGN (line properties),TRUE,FALSE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/blob/DR20_VAC_24/sql/BHM/efeds_spiders_agn_line_properties.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/bhmCSV/spiders-agn/efeds_spiders_agn_line_properties.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\bhmCSV\spiders-agn\efeds_spiders_agn_line_properties.csv,,,,efeds_spiders_agn_line_properties,,
VAC 24 - Spiders AGN (decomposition results),TRUE,FALSE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/blob/DR20_VAC_24/sql/BHM/efeds_spiders_agn_host_decomposition.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/bhmCSV/spiders-agn/efeds_spiders_agn_host_decomposition.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\bhmCSV\spiders-agn\efeds_spiders_agn_host_decomposition.csv,,,,efeds_spiders_agn_host_decomposition,,
VAC 24 - Spiders AGN (derived properties),TRUE,FALSE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/blob/DR20_VAC_24/sql/BHM/efeds_spiders_agn_classification_props.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/bhmCSV/spiders-agn/efeds_spiders_agn_classification_props.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\bhmCSV\spiders-agn\efeds_spiders_agn_classification_props.csv,,,,efeds_spiders_agn_classification_props,,
VAC 24 - Spiders AGN (fit parameters),TRUE,FALSE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/blob/DR20_VAC_24/sql/BHM/efeds_spiders_agn_fit_params.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/bhmCSV/spiders-agn/efeds_spiders_agn_fit_params.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\bhmCSV\spiders-agn\efeds_spiders_agn_fit_params.csv,,,,efeds_spiders_agn_fit_params,,
VAC 24 - Spiders AGN (Main X-RAY catalogue),TRUE,FALSE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/blob/DR20_VAC_24/sql/BHM/efeds_spiders_agn_main_xray_catalogue.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/bhmCSV/spiders-agn/efeds_spiders_agn_main_xray_catalogue.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\bhmCSV\spiders-agn\efeds_spiders_agn_main_xray_catalogue.csv,,,,efeds_spiders_agn_main_xray_catalogue,,
VAC 24 - Spiders AGN (Hard X-RAY catalogue),TRUE,FALSE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/blob/DR20_VAC_24/sql/BHM/efeds_spiders_agn_hard_xray_catalogue.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/bhmCSV/spiders-agn/efeds_spiders_agn_hard_xray_catalogue.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\bhmCSV\spiders-agn\efeds_spiders_agn_hard_xray_catalogue.csv,,,,efeds_spiders_agn_hard_xray_catalogue,,
VAC 24 - Spiders AGN (X-Ray spectral properties),TRUE,FALSE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/blob/DR20_VAC_24/sql/BHM/efeds_spiders_agn_xray_spectral_props.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/bhmCSV/spiders-agn/efeds_spiders_agn_xray_spectral_props.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\bhmCSV\spiders-agn\efeds_spiders_agn_xray_spectral_props.csv,,,,efeds_spiders_agn_xray_spectral_props,,
