name,ra,dec,B,BErr,nB_tot,nB,V,VErr,nV_tot,nV,R,RErr,nR_tot,nR,I,IErr,nI_tot,nI,vary,objID
N1851-S152,78.55573,-40.10748,20.472,,,37,19.986,,,38,,,,0,19.352,,,38,0.023,
N1851-S153,78.55491,-40.09427,19.785,,,38,19.324,,,37,,,,0,18.703,,,38,0.004,
N1851-S154,78.55454,-40.10630,20.876,,,34,19.637,,,38,,,,0,18.153,,,38,0.018,
N1851-S155,78.55463,-40.13422,20.495,,,38,20.022,,,39,,,,0,19.392,,,38,0.020,
N1851-S156,78.55382,-40.10508,20.206,,,39,19.753,,,38,,,,0,19.133,,,38,0.029,
N1851-S158,78.55280,-40.12096,21.096,,,34,20.573,,,37,,,,0,19.891,,,36,0.013,
N1851-S159,78.55257,-40.09544,19.798,,,38,19.298,,,37,,,,0,18.634,,,38,-0.003,
N1851-S16,78.63271,-40.12676,19.762,,,33,19.264,,,33,,,,0,18.579,,,31,0.005,
N1851-S160,78.55233,-40.09306,19.652,,,38,19.174,,,37,,,,0,18.535,,,38,0.003,
N1851-S161,78.55165,-40.09672,20.599,,,36,20.122,,,37,,,,0,19.481,,,37,0.010,
N1851-S162,78.55105,-40.09941,20.215,,,38,19.743,,,37,,,,0,19.120,,,38,0.011,
N1851-S163,78.55088,-40.11149,19.714,,,38,19.248,,,37,,,,0,18.615,,,38,0.008,
N1851-S164,78.55016,-40.11929,20.894,,,33,20.389,,,36,,,,0,19.723,,,37,0.022,
N1851-S165,78.54941,-40.09952,20.202,,,36,19.741,,,37,,,,0,19.129,,,38,0.008,
N1851-S167,78.54879,-40.09247,19.471,,,39,18.864,,,38,,,,0,18.101,,,38,0.018,
N1851-S168,78.54881,-40.12742,20.280,,,38,19.823,,,37,,,,0,19.197,,,38,0.004,
N1851-S17,78.63105,-40.12878,20.267,,,33,19.805,,,32,,,,0,19.167,,,31,0.015,
N1851-S170,78.54721,-40.11042,19.522,,,38,18.948,,,37,,,,0,18.209,,,38,0.008,
N1851-S171,78.54703,-40.11638,20.422,,,37,19.952,,,37,,,,0,19.321,,,38,0.027,
N1851-S173,78.54593,-40.11342,20.854,,,32,20.368,,,36,,,,0,19.698,,,37,0.002,
N1851-S174,78.54560,-40.11050,19.998,,,38,19.518,,,37,,,,0,18.880,,,38,0.007,
N1851-S175,78.54426,-40.10855,20.057,,,38,19.608,,,37,,,,0,18.991,,,38,0.002,
N1851-S176,78.54353,-40.09748,20.402,,,38,19.939,,,38,,,,0,19.310,,,37,0.039,
N1851-S178,78.54351,-40.12230,17.091,,,38,16.559,,,37,,,,0,15.932,,,38,0.008,
N1851-S179,78.54334,-40.11674,20.458,,,35,18.911,,,37,,,,0,16.461,,,38,0.011,
N1851-S18,78.62864,-40.10801,21.267,,,25,20.767,,,30,,,,0,20.058,,,30,0.015,
N1851-S180,78.54337,-40.12797,19.927,,,38,19.473,,,37,,,,0,18.856,,,38,0.005,
N1851-S181,78.54274,-40.13944,18.314,,,37,17.545,,,35,,,,0,16.640,,,38,0.000,
N1851-S182,78.54216,-40.09582,20.222,,,39,19.764,,,38,,,,0,19.153,,,38,0.009,
N1851-S183,78.54197,-40.10480,19.830,,,38,19.361,,,37,,,,0,18.740,,,38,0.006,
N1851-S184,78.54167,-40.11291,20.501,,,36,20.026,,,37,,,,0,19.380,,,38,0.004,
N1851-S185,78.54041,-40.09805,20.087,,,39,19.625,,,36,,,,0,18.999,,,38,0.011,
N1851-S186,78.54036,-40.10299,19.551,,,39,19.052,,,36,,,,0,18.381,,,38,0.010,
N1851-S187,78.30885,-40.08792,20.268,,,6,19.799,,,6,,,,0,19.143,,,7,0.022,
N1851-S189,78.31210,-40.03527,14.756,,,6,14.175,,,6,,,,0,13.469,,,7,0.006,
N1851-S19,78.62826,-40.10664,20.630,,,30,20.150,,,32,,,,0,19.490,,,30,0.008,
N1851-S190,78.31221,-40.10128,14.898,,,6,13.957,,,6,,,,0,12.991,,,7,0.007,
N1851-S191,78.31338,-40.16608,19.990,,,6,19.521,,,6,,,,0,18.902,,,7,0.009,
N1851-S192,78.31480,-40.04157,17.394,,,6,16.674,,,6,,,,0,15.850,,,7,0.006,
N1851-S193,78.31621,-40.05007,20.084,,,6,19.372,,,6,,,,0,18.563,,,7,0.009,
N1851-S194,78.31661,-40.08131,20.932,,,6,20.411,,,6,,,,0,19.752,,,7,0.020,
N1851-S195,78.31680,-40.08948,19.480,,,6,18.340,,,6,,,,0,17.012,,,7,0.005,
N1851-S196,78.31777,-40.10557,20.123,,,6,20.111,,,6,,,,0,20.061,,,7,-0.004,
N1851-S197,78.31952,-40.13521,17.369,,,6,16.591,,,6,,,,0,15.784,,,7,0.004,
N1851-S198,78.32038,-40.14905,19.195,,,6,17.705,,,6,,,,0,15.443,,,7,0.008,
N1851-S199,78.32130,-40.05157,18.222,,,6,17.591,,,6,,,,0,16.843,,,7,0.007,
N1851-S2,78.65608,-40.11786,19.056,,,32,18.334,,,30,,,,0,17.446,,,31,0.003,
N1851-S20,78.62819,-40.10132,20.338,,,32,19.865,,,32,,,,0,19.221,,,31,0.024,
N1851-S201,78.32382,-40.08829,20.185,,,6,19.733,,,6,,,,0,19.089,,,7,0.010,
N1851-S202,78.32424,-40.02589,19.725,,,6,19.128,,,6,,,,0,18.367,,,7,0.006,
N1851-S203,78.32457,-40.11665,20.354,,,6,19.910,,,6,,,,0,19.263,,,7,0.007,
N1851-S205,78.32561,-40.08067,20.510,,,6,20.041,,,6,,,,0,19.432,,,7,-0.003,
N1851-S206,78.32584,-40.11974,21.029,,,6,20.521,,,6,,,,0,19.801,,,7,0.019,
N1851-S207,78.32601,-40.10720,21.249,,,6,,,,0,,,,0,19.984,,,7,0.031,
N1851-S208,78.32789,-40.13247,20.722,,,6,20.202,,,6,,,,0,19.456,,,7,-0.003,
N1851-S209,78.32861,-40.11768,21.261,,,6,20.712,,,6,,,,0,,,,0,0.017,
N1851-S21,78.62317,-40.10184,18.926,,,34,18.215,,,33,,,,0,17.337,,,31,0.008,
N1851-S210,78.32927,-40.14826,,,,0,20.073,,,6,,,,0,17.944,,,7,-0.006,
N1851-S211,78.32947,-40.07599,19.567,,,6,19.060,,,6,,,,0,18.389,,,7,0.004,
N1851-S212,78.33224,-40.09730,19.277,,,6,17.816,,,6,,,,0,15.847,,,7,-0.001,
N1851-S213,78.33337,-40.08641,20.782,,,6,20.289,,,6,,,,0,19.637,,,7,0.024,
